CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade existente por Município e Leitos complementares
Período:Fev/2020
"Município";"Unidade intermediária neonatal";"Unidade isolamento";"UTI adulto I";"UTI adulto II";"UTI adulto III";"UTI pediátrica I";"UTI pediátrica II";"UTI pediátrica III";"UTI neonatal I";"UTI neonatal II";"UTI neonatal III";"UTI de Queimados";"UTI coronariana tipo II -UCO tipo II";"UTI coronariana tipo III - UCO tipo III";"Unidade de cuidados intermed neonatal convencional";"Unidade de cuidados intermed neonatal canguru";"Unidade de cuidados intermed pediatrico";"Unidade de cuidados intermed adulto";"Total"
"110001 Alta Floresta D'Oeste";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110002 Ariquemes";-;2;-;19;-;-;5;-;-;5;-;-;-;-;5;-;-;-;36
"110045 Buritis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110004 Cacoal";-;-;10;18;-;-;9;-;-;-;-;-;-;-;-;-;-;-;37
"110005 Cerejeiras";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110009 Espigão D'Oeste";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110012 Ji-Paraná";-;2;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"110015 Ouro Preto do Oeste";-;2;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;16
"110020 Porto Velho";4;10;26;138;-;3;24;-;6;45;-;-;3;-;44;12;-;-;315
"110028 Rolim de Moura";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110149 São Francisco do Guaporé";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110030 Vilhena";-;3;-;10;-;-;-;-;-;-;-;-;-;-;6;-;-;-;19
"120010 Brasiléia";-;8;-;-;-;-;-;-;-;-;-;-;-;-;9;6;-;5;28
"120020 Cruzeiro do Sul";-;1;-;7;-;-;1;-;-;4;-;-;-;-;10;8;-;-;31
"120038 Plácido de Castro";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"120040 Rio Branco";-;19;-;41;-;-;11;-;-;18;-;-;-;-;18;16;4;5;132
"120045 Senador Guiomard";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130006 Amaturá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130014 Apuí";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130020 Atalaia do Norte";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130030 Autazes";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130060 Benjamin Constant";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130063 Beruri";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130080 Borba";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130083 Caapiranga";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3
"130120 Coari";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130160 Fonte Boa";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130165 Guajará";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130170 Humaitá";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130200 Itapiranga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"130230 Jutaí";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
