CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município e Especialidade
Período:Fev/2020
"Município";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"110001 Alta Floresta D'Oeste";7;24;9;9;-;-;49
"110037 Alto Alegre dos Parecis";-;8;4;4;-;-;16
"110040 Alto Paraíso";-;12;-;4;-;-;16
"110034 Alvorada D'Oeste";3;16;10;6;-;-;35
"110002 Ariquemes";76;74;35;45;3;7;240
"110045 Buritis";16;15;19;13;1;2;66
"110003 Cabixi";-;4;2;2;1;-;9
"110060 Cacaulândia";-;16;3;7;-;-;26
"110004 Cacoal";136;121;38;65;-;-;360
"110070 Campo Novo de Rondônia";-;12;1;6;-;-;19
"110080 Candeias do Jamari";-;5;5;5;-;-;15
"110090 Castanheiras";-;7;-;-;-;-;7
"110005 Cerejeiras";5;20;8;7;-;-;40
"110092 Chupinguaia";-;6;4;-;-;-;10
"110006 Colorado do Oeste";7;23;7;12;-;1;50
"110007 Corumbiara";-;16;-;-;-;-;16
"110008 Costa Marques";4;30;4;7;-;-;45
"110094 Cujubim";-;8;-;3;-;-;11
"110009 Espigão D'Oeste";10;26;9;9;-;-;54
"110100 Governador Jorge Teixeira";2;9;7;4;-;-;22
"110010 Guajará-Mirim";5;35;25;32;-;-;97
"110110 Itapuã do Oeste";-;10;3;7;-;-;20
"110011 Jaru";13;52;30;20;-;-;115
"110012 Ji-Paraná";78;71;55;40;15;-;259
"110013 Machadinho D'Oeste";10;15;10;6;7;-;48
"110120 Ministro Andreazza";-;10;-;6;-;-;16
"110130 Mirante da Serra";2;14;4;5;-;-;25
"110140 Monte Negro";6;12;8;14;-;-;40
"110014 Nova Brasilândia D'Oeste";5;25;8;6;-;-;44
"110033 Nova Mamoré";-;11;3;6;-;-;20
"110143 Nova União";-;9;3;3;-;-;15
"110050 Novo Horizonte do Oeste";-;13;-;5;-;-;18
"110015 Ouro Preto do Oeste";33;43;22;19;-;-;117
"110145 Parecis";-;6;-;2;-;-;8
"110018 Pimenta Bueno";5;18;24;11;-;-;58
"110146 Pimenteiras do Oeste";-;5;2;2;-;-;9
"110020 Porto Velho";495;784;182;116;108;16;1701
"110025 Presidente Médici";10;22;8;5;-;-;45
"110026 Rio Crespo";-;7;1;1;-;-;9
"110028 Rolim de Moura";7;44;26;14;3;-;94
"110029 Santa Luzia D'Oeste";3;13;4;5;-;-;25
"110148 São Felipe D'Oeste";-;7;-;-;-;-;7
"110149 São Francisco do Guaporé";4;12;8;5;-;-;29
"110032 São Miguel do Guaporé";9;18;9;8;-;-;44
"110150 Seringueiras";10;12;6;8;-;-;36
"110155 Teixeirópolis";-;6;-;3;-;-;9
"110160 Theobroma";-;9;1;3;-;-;13
"110170 Urupá";-;10;10;5;-;-;25
"110175 Vale do Anari";-;8;1;2;1;-;12
"110180 Vale do Paraíso";-;10;2;4;-;-;16
"110030 Vilhena";58;87;30;23;8;-;206
"120001 Acrelândia";-;8;2;4;2;-;16
"120005 Assis Brasil";-;7;2;3;-;-;12
"120010 Brasiléia";4;12;20;4;-;-;40
"120020 Cruzeiro do Sul";48;74;30;18;5;-;175
"120030 Feijó";6;16;12;5;2;-;41
"120032 Jordão";-;7;2;1;-;-;10
"120033 Mâncio Lima";-;11;6;6;2;-;25
"120034 Manoel Urbano";-;16;4;4;2;-;26
"120035 Marechal Thaumaturgo";-;8;3;2;-;-;13
"120038 Plácido de Castro";-;29;9;12;2;-;52
"120039 Porto Walter";-;8;2;4;-;-;14
"120040 Rio Branco";236;307;118;114;99;3;877
"120042 Rodrigues Alves";-;8;2;5;1;-;16
"120043 Santa Rosa do Purus";-;10;2;2;2;-;16
"120050 Sena Madureira";2;24;8;12;4;-;50
"120045 Senador Guiomard";9;12;3;3;2;-;29
"120060 Tarauacá";6;14;12;8;2;-;42
"120070 Xapuri";-;19;4;7;-;-;30
"130002 Alvarães";2;8;8;4;-;-;22
"130006 Amaturá";6;13;5;6;-;-;30
"130008 Anamã";6;6;4;4;-;-;20
"130010 Anori";5;6;6;6;-;-;23
"130014 Apuí";8;16;8;10;-;-;42
"130020 Atalaia do Norte";7;10;8;5;-;-;30
"130030 Autazes";3;12;8;8;-;-;31
"130040 Barcelos";4;12;8;5;1;-;30
"130050 Barreirinha";6;10;8;7;-;-;31
"130060 Benjamin Constant";2;12;15;5;-;3;37
